GradRate_Total,DropoutRate_Total,PerPupil_Federal,PerPupil_StateLocal,ELA_Proficiency,Math_Proficiency,Science_Proficiency,County_Clean,Median_Income
0.88,0.061,1757.2516666666668,11029.023333333333,0.31481818181818183,0.27440909090909094,0.5468,ADAMS,64962.0
0.828,0.028999999999999998,839.792,12631.335000000001,0.32466666666666666,0.22899999999999998,0.5235555555555556,BOND,61603.0
0.8642,0.0256,1079.7416666666666,14493.197222222221,0.24572222222222223,0.17922222222222225,0.45726666666666665,BOONE,81638.0
0.8246666666666667,0.0565,882.6475,15887.36,0.3125925925925926,0.21103703703703702,0.54225,BUREAU,65894.0
0.9060000000000001,0.04,1127.6309999999999,12900.117999999999,0.42810000000000004,0.2955,0.6003,CARROLL,60871.0
0.887,0.057,2141.6318181818183,11720.327272727272,0.2501,0.19830000000000003,0.505,CASS,64907.0
0.8791176470588234,0.042,1958.4848529411765,13017.689264705883,0.29352307692307694,0.24580000000000002,0.47588888888888886,CHAMPAIGN,63091.0
0.8375999999999999,0.03900000000000001,894.3947619047619,12212.14238095238,0.28068421052631576,0.1471578947368421,0.5036111111111111,CHRISTIAN,59253.0
0.8216666666666668,0.048,1524.4990909090907,10302.404545454545,0.30760000000000004,0.19130000000000003,0.5377000000000001,CLARK,70625.0
0.7556666666666666,0.066,1158.221818181818,11172.402727272727,0.26936363636363636,0.15127272727272728,0.4339090909090909,CLAY,57266.0
0.8756666666666666,0.03,1699.081,9543.868666666667,0.4765862068965517,0.430103448275862,0.696923076923077,CLINTON,82314.0
0.7893333333333333,0.067,1972.455625,11799.665625,0.23342857142857146,0.1452857142857143,0.39916666666666667,COLES,56040.0
0.8178677685950414,0.06155497382198953,2741.978002873563,16989.758979885057,0.2882594268476621,0.21632051282051282,0.4186614173228347,COOK,81797.0
0.88575,0.022000000000000002,1162.5228571428572,13313.25,0.2513846153846154,0.1596153846153846,0.5764615384615385,CRAWFORD,67614.0
0.89275,0.035250000000000004,1009.2545833333334,14712.407916666665,0.30619565217391304,0.25139130434782614,0.534525,DEKALB,69022.0
0.9329999999999999,0.033,952.58375,11703.743124999999,0.2885625,0.18618749999999998,0.5491333333333334,DOUGLAS,74186.0
0.9260555555555555,0.015,1041.1107638888889,17819.414652777778,0.4809469696969697,0.43613257575757575,0.6590625,DUPAGE,110502.0
0.8817499999999999,0.055,2682.4880000000003,12419.017,0.2859444444444445,0.19049999999999997,0.5593888888888889,EDGAR,56909.0
0.768,0.037000000000000005,119.345,10658.717499999999,0.41625,0.25025,0.60475,EDWARDS,59386.0
0.9,0.031,1173.4095,9661.8925,0.44876470588235295,0.35370588235294115,0.6407058823529412,EFFINGHAM,75380.0
0.868,0.031,2463.7766666666666,10186.253999999999,0.3618,0.1904,0.5362142857142858,FAYETTE,57113.0
0.9315000000000001,0.038,1409.805,14366.69375,0.35875,0.27949999999999997,0.6502499999999999,FORD,60782.0
0.8333333333333333,0.0675,2385.2946428571427,11418.975714285714,0.28833333333333333,0.2015185185185185,0.5294166666666666,FRANKLIN,53471.0
0.8455833333333334,0.039,1857.1408000000001,13780.646,0.27155999999999997,0.17432000000000003,0.6192727272727273,FULTON,58617.0
0.8556666666666666,0.05,1194.6344444444446,11968.091111111113,0.21244444444444444,0.16299999999999998,0.49011111111111105,GREENE,60976.0
0.93875,0.018000000000000002,683.5177777777777,14938.768611111112,0.3587941176470589,0.28279411764705886,0.5721428571428572,GRUNDY,93060.0
0.831,0.052000000000000005,1956.476,10629.114,0.4225,0.2925,0.6497499999999999,HAMILTON,61520.0
0.83825,0.044000000000000004,1618.7345,12336.889500000001,0.2832,0.187,0.5316842105263158,HANCOCK,65044.0
0.721,0.053,314.872,11011.398,0.1255,0.060250000000000005,0.503,HENDERSON,65651.0
0.8745,0.0405,869.0228571428571,12655.491142857143,0.34015151515151515,0.25242424242424244,0.5841562499999999,HENRY,69912.0
0.8685,0.064,1276.9444827586208,14433.321034482758,0.37661538461538463,0.28838461538461535,0.5099166666666667,IROQUOIS,62439.0
0.84,0.05833333333333333,2506.9157142857143,12795.646785714285,0.3087916666666667,0.19591666666666666,0.5553913043478261,JACKSON,45572.0
0.9640000000000001,0.035,1357.6060000000002,10593.354000000001,0.29774999999999996,0.25175000000000003,0.56775,JASPER,71094.0
0.847,0.027000000000000003,2600.9634285714287,12002.629142857144,0.3039705882352941,0.19405882352941176,0.4918571428571429,JEFFERSON,61102.0
0.89,0.025,1572.9950000000001,10174.230000000001,0.364,0.2516,0.5506666666666666,JERSEY,79104.0
0.8553333333333335,0.102,835.7626086956523,15950.777391304347,0.4566818181818182,0.3739090909090909,0.6118095238095238,JO DAVIESS,74954.0
0.9136799999999999,0.014347826086956521,1554.0345614035086,14847.458830409356,0.31183734939759034,0.2704819277108434,0.5162606060606061,KANE,100678.0
0.8894285714285715,0.04100000000000001,1941.9534042553191,14048.94510638298,0.24443181818181817,0.19206818181818183,0.46044117647058824,KANKAKEE,68325.0
0.941,0.017571428571428575,553.7530434782609,14231.514130434784,0.39418604651162786,0.2984651162790698,0.5772631578947368,KENDALL,110474.0
0.8684000000000001,0.0675,1342.78875,13674.435416666667,0.3255238095238095,0.20004761904761906,0.527625,KNOX,53291.0
0.9194864864864865,0.021580645161290324,900.9190909090909,18222.727603305786,0.41007623318385655,0.35232286995515694,0.5863495145631067,LAKE,108917.0
0.7155,0.09,1997.14625,10492.05,0.351875,0.166375,0.5662857142857143,LAWRENCE,53438.0
